,0,1,2
0,95,85,75
1,96,86,76
2,96,86,76
3,96,86,90
4,96,87,94
5,96,89,110
6,95,119,143
7,125,151,175
8,158,181,202
9,182,202,220
10,196,211,226
11,207,220,232
12,207,220,233
13,207,220,233
14,209,222,233
15,212,225,233
16,214,227,234
17,213,226,234
18,214,226,233
19,214,226,233
20,214,226,233
21,215,225,233
22,216,226,232
23,216,226,232
24,216,226,232
25,215,226,232
26,215,226,232
27,215,226,232
28,214,226,231
29,213,225,231
30,211,224,230
31,211,224,231
32,211,225,232
33,211,225,232
34,211,225,232
35,212,225,232
36,213,226,233
37,214,227,234
38,214,227,234
39,215,227,234
40,215,227,234
41,215,227,234
42,215,227,234
43,215,227,234
44,215,227,234
45,216,227,234
46,217,227,234
47,217,227,233
48,214,225,234
49,211,224,234
50,211,228,234
51,211,226,234
52,204,226,234
53,200,224,234
54,201,223,234
55,201,225,234
56,201,227,234
57,202,226,234
58,205,226,234
59,206,227,233
60,203,223,233
61,197,222,233
62,195,221,232
63,195,221,232
64,193,217,227
65,190,213,222
66,172,197,209
67,147,175,191
68,120,149,168
69,98,126,145
