,0,1,2
0,0,2,47
1,0,2,47
2,0,2,47
3,5,2,48
4,0,2,48
5,0,2,48
6,8,2,48
7,0,2,48
8,0,0,48
9,0,0,48
10,0,0,48
11,0,2,48
12,0,2,48
13,0,2,48
14,0,2,48
15,5,2,48
16,0,2,48
17,0,2,48
18,7,2,47
19,0,2,47
20,0,2,47
21,0,2,47
22,0,2,47
23,0,2,48
24,0,2,48
25,0,2,49
26,0,2,49
27,0,2,49
28,0,2,49
29,0,2,48
30,0,0,48
31,0,2,48
32,0,2,48
33,0,2,49
34,0,2,49
35,0,2,49
36,0,2,49
37,0,2,48
38,0,2,48
39,0,2,48
40,0,2,49
41,0,2,49
42,0,2,49
43,0,2,49
44,0,2,49
45,0,2,48
46,0,2,48
47,0,2,48
48,0,2,48
49,0,2,48
50,0,2,48
51,0,2,48
52,0,2,48
53,0,2,48
54,0,2,48
55,0,2,48
56,0,2,48
57,0,2,48
58,0,2,48
59,0,2,48
60,0,2,48
61,0,2,48
62,0,2,48
63,0,2,48
64,0,2,48
65,0,2,48
66,0,2,48
67,5,2,48
68,5,2,48
69,5,2,48
70,0,2,49
71,0,2,50
72,0,2,50
73,0,2,50
74,0,2,50
75,0,2,49
76,0,2,49
77,0,2,49
78,0,2,49
79,0,2,49
80,0,2,49
81,0,2,49
82,3,2,49
83,0,2,49
84,0,2,49
85,0,2,49
86,0,2,49
87,0,2,48
88,0,2,48
89,0,2,48
90,0,2,48
91,0,2,49
92,5,2,50
93,0,2,50
94,0,2,50
95,0,2,51
96,0,2,51
97,0,2,51
98,4,2,50
99,0,2,49
100,0,2,48
101,0,2,48
102,0,2,48
103,0,2,49
104,0,2,49
105,0,2,49
106,0,2,50
107,0,2,50
108,0,2,50
109,0,2,50
110,0,2,50
111,0,2,49
112,0,2,49
113,0,2,49
114,6,2,49
115,0,1,50
116,0,1,51
117,0,1,51
118,0,1,50
119,0,2,50
120,0,2,48
121,0,2,48
122,6,2,48
123,6,2,48
124,10,2,48
125,0,2,49
126,0,2,49
127,0,2,50
128,6,2,50
129,6,2,50
130,8,2,50
131,6,2,50
132,0,2,50
133,0,2,50
134,0,2,50
135,0,2,50
136,0,2,49
137,4,2,49
138,5,2,49
139,10,2,49
140,13,2,49
141,0,2,49
142,0,2,50
143,9,2,50
144,5,2,50
145,0,2,50
146,0,2,50
147,0,2,50
148,0,2,50
149,0,2,49
150,3,2,48
151,83,2,48
152,83,2,48
153,83,2,48
154,84,2,48
155,0,2,49
156,0,2,50
157,0,2,50
158,0,2,50
159,0,2,50
160,4,2,50
161,0,2,50
162,83,2,49
163,83,2,49
164,83,2,49
165,83,2,49
166,83,2,49
167,83,2,49
168,83,2,50
169,83,2,50
170,0,2,50
171,83,2,50
172,83,2,50
173,0,2,51
174,0,2,50
175,0,2,48
176,0,2,47
177,0,2,47
178,0,2,47
179,0,2,47
180,0,2,47
181,0,2,47
182,0,2,47
183,83,2,47
184,83,2,48
185,83,2,48
186,83,2,48
187,83,2,48
188,83,2,46
189,83,2,46
190,83,1,47
191,83,1,47
192,83,1,47
193,0,0,47
194,0,0,48
195,0,0,48
196,0,0,49
197,0,0,49
198,0,0,48
199,0,0,48
200,0,0,47
201,0,0,48
202,0,0,48
203,0,0,48
204,0,0,48
205,0,0,48
206,0,0,49
207,0,0,49
208,0,0,50
209,0,0,50
210,0,0,50
211,0,0,49
212,0,0,49
213,0,0,49
214,0,0,49
215,0,0,49
216,0,0,49
217,83,2,48
218,83,2,48
219,83,2,48
220,83,2,49
221,83,2,49
222,83,2,50
223,0,2,50
224,0,1,48
225,0,1,48
226,0,2,48
227,5,2,48
228,0,2,48
229,0,2,48
230,0,2,48
231,83,2,48
232,83,2,48
233,83,2,48
234,83,2,49
235,83,1,48
236,83,1,50
237,83,1,49
238,83,1,49
239,83,1,49
240,83,1,48
241,83,1,49
242,83,1,49
243,83,1,49
244,83,1,50
245,83,1,49
246,83,1,49
247,83,2,49
248,83,2,49
249,83,2,49
250,83,2,49
251,83,2,49
252,83,2,49
253,83,2,49
254,83,2,50
255,0,2,49
256,0,2,49
257,0,2,50
258,0,2,49
259,0,2,48
260,83,2,48
261,83,2,48
262,83,2,48
263,83,2,48
264,83,2,49
265,83,2,49
266,83,2,49
267,83,2,50
268,83,2,49
269,83,2,49
270,83,2,50
271,83,2,49
272,83,2,48
273,83,2,49
274,83,2,48
275,83,2,48
276,83,2,49
277,83,2,49
278,83,2,49
279,83,2,48
280,83,2,49
281,83,2,47
282,84,2,48
283,84,2,49
284,83,2,48
285,84,2,49
286,83,2,50
287,83,2,49
288,84,2,50
289,84,2,50
290,83,2,50
291,83,2,49
292,83,2,50
293,83,2,51
294,83,2,50
295,83,2,50
296,83,2,51
297,83,2,48
298,83,2,47
299,83,2,49
300,83,2,47
301,83,2,48
302,83,2,51
303,83,2,51
304,83,2,50
305,83,2,50
306,83,1,50
307,83,2,48
308,83,2,49
309,83,2,50
310,83,2,48
311,83,2,49
312,83,2,51
313,83,2,50
314,83,2,50
315,83,2,51
316,83,2,50
317,83,2,50
318,83,2,51
319,83,2,51
320,83,2,51
321,83,2,51
322,83,2,52
323,0,2,50
324,0,2,52
325,0,2,53
326,0,2,52
327,0,2,52
328,0,2,53
329,4,2,52
330,0,2,51
331,0,2,52
332,0,2,52
333,0,2,51
334,0,2,52
335,0,2,53
336,0,0,51
337,0,0,51
338,0,2,53
339,0,2,50
340,0,2,50
341,0,2,52
342,0,1,50
343,0,2,49
344,0,2,52
345,0,2,51
346,0,2,50
347,0,2,51
348,83,2,52
349,83,2,51
350,0,2,51
351,0,2,52
352,0,2,51
353,0,2,52
354,3,2,54
355,0,2,53
356,0,2,51
357,0,2,54
358,0,2,53
359,0,2,52
360,0,2,54
361,0,2,55
362,0,2,53
363,0,2,53
364,0,2,55
365,0,2,54
366,0,2,53
367,0,2,54
368,0,2,52
369,8,2,51
370,0,2,55
