,0,1,2
0,38,36,37
1,40,41,42
2,42,45,46
3,42,45,48
4,44,43,48
5,44,43,48
6,44,43,48
7,46,46,51
8,49,51,56
9,49,53,56
10,50,53,56
11,50,55,58
12,50,56,59
13,50,57,59
14,52,59,58
15,54,58,58
16,54,57,57
17,54,56,56
18,54,55,55
19,54,55,55
20,54,54,55
21,51,52,52
22,48,49,49
23,47,48,48
24,46,47,47
25,46,47,47
26,46,47,47
27,46,47,47
28,46,47,47
29,45,48,47
30,45,48,47
31,45,48,47
32,45,48,47
33,45,48,47
34,45,48,47
35,45,47,46
36,44,46,46
37,44,46,45
38,44,46,45
39,44,46,46
40,46,47,47
41,47,48,48
42,47,48,48
43,47,48,48
44,49,50,50
45,51,52,52
46,53,54,54
47,55,56,55
48,57,59,57
49,57,59,57
50,57,59,57
51,59,61,59
52,61,63,62
53,61,66,64
54,61,65,66
55,61,65,67
56,61,65,67
57,61,65,67
58,61,65,67
59,60,64,67
60,52,64,67
61,40,50,58
62,42,50,56
63,44,51,55
64,43,49,55
65,42,44,52
66,41,43,52
67,41,43,52
68,40,43,53
69,39,45,53
